Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2015-000012,12/03/2015,16/03/2015,Second Class,C-00742,Andy Reiter,Home Office,United States,Saint Paul,Minnesota,21836,Central,P-FAS-087,Office Supplies,Fasteners,OIC Binder Clips,41.55,3,0.0,6.81
13,CA-2017-000013,03/04/2017,06/04/2017,Second Class,C-00381,Andrew Roberts,Corporate,United States,Tacoma,Washington,13280,West,P-LAB-100,Office Supplies,Labels,Avery File Folder Labels,145.86,2,0.0,26.97
14,CA-2015-000014,13/08/2015,20/08/2015,Standard Class,C-00144,Alejandro Ballard,Home Office,United States,San Diego,California,74569,West,P-TAB-032,Furniture,Tables,Bevis Round Table,6286.05,5,0.0,-758.21
15,CA-2015-000015,08/07/2015,09/07/2015,First Class,C-00671,Brenda Bowman,Consumer,United States,Reno,Nevada,46666,West,P-CHA-011,Furniture,Chairs,Safco Executive Chair,2945.84,2,0.0,135.48
16,CA-2014-000016,21/04/2014,23/04/2014,Second Class,C-00661,Arthur Wiediger,Corporate,United States,Richmond,Virginia,34878,East,P-CHA-012,Furniture,Chairs,Bretford Rectangular Table,303.64,2,0.0,32.76
17,CA-2017-000017,25/04/2017,29/04/2017,Standard Class,C-00579,Bob Takahito,Consumer,United States,Scottsdale,Arizona,37152,West,P-STO-120,Office Supplies,Storage,Rubbermaid CloseUp,1535.82,13,0.0,60.11
18,CA-2014-000018,08/11/2014,12/11/2014,Standard Class,C-00554,Allen Armold,Corporate,United States,Seattle,Washington,96646,West,P-FAS-081,Office Supplies,Fasteners,OIC Binder Clips,9.54,1,0.0,1.27
19,CA-2016-000019,20/04/2016,26/04/2016,Standard Class,C-00539,Bruce Sherwood,Corporate,United States,Sacramento,California,68756,West,P-BOO-006,Furniture,Bookcases,Sauder 5-Shelf Bookcase,6642.35,11,0.4,-5175.57
20,CA-2015-000020,05/03/2015,11/03/2015,Standard Class,C-00412,Alan Hwang,Corporate,United States,Buffalo,New York,68138,East,P-PAP-102,Office Supplies,Paper,Xerox 1967,317.12,4,0.0,68.36
21,CA-2017-000021,29/07/2017,04/08/2017,Standard Class,C-00518,Angel Whelply,Consumer,United States,Rochester,New York,24996,East,P-ART-059,Office Supplies,Art,Sanford Liquid Highlighter,249.78,3,0.0,57.73
22,CA-2017-000022,27/02/2017,06/03/2017,Standard Class,C-00321,Alan Haines,Home Office,United States,Savannah,Georgia,59060,East,P-TAB-033,Furniture,Tables,Harbour Creations 66,2242.92,6,0.0,-117.2
23,CA-2015-000023,25/10/2015,29/10/2015,Standard Class,C-00570,Arthur Prichep,Home Office,United States,Colorado Springs,Colorado,97819,West,P-PHO-162,Technology,Phones,Cisco SPA 501G,7751.0,4,0.0,1617.99
24,CA-2017-000024,25/06/2017,30/06/2017,Standard Class,C-00592,Alan Hwang,Consumer,United States,Pittsburgh,Pennsylvania,39392,East,P-MAC-152,Technology,Machines,Sharp MX-M264N,28387.66,7,0.0,2420.63
25,CA-2015-000025,10/10/2015,12/10/2015,First Class,C-00637,Alan Hwang,Consumer,United States,Wichita,Kansas,89822,Central,P-CHA-015,Furniture,Chairs,HON 5400 Task Chair,620.69,7,0.0,18.4
26,CA-2015-000026,06/07/2015,12/07/2015,Standard Class,C-00411,Alan Haines,Corporate,United States,Salt Lake City,Utah,22026,West,P-APP-049,Office Supplies,Appliances,Fellowes PB500 Binding Machine,1891.2,4,0.1,-195.42
27,CA-2016-000027,20/07/2016,26/07/2016,Standard Class,C-00160,Anna Andreadi,Consumer,United States,Denver,Colorado,98338,West,P-ACC-132,Technology,Accessories,Kensington USB/PS2 Keyb,346.89,3,0.0,43.75
28,CA-2015-000028,02/12/2015,08/12/2015,Standard Class,C-00114,Ann Chong,Consumer,United States,Provo,Utah,79066,West,P-FAS-085,Office Supplies,Fasteners,OIC Binder Clips,283.92,6,0.0,29.75
29,CA-2015-000029,17/10/2015,23/10/2015,Standard Class,C-00297,Anne Pryor,Consumer,United States,Buffalo,New York,66446,East,P-FUR-023,Furniture,Furnishings,Tensor Halogen Desk Lamp,266.77,7,0.1,-15.13
30,CA-2016-000030,10/09/2016,14/09/2016,Standard Class,C-00471,Andrew Roberts,Consumer,United States,Lexington,Kentucky,85465,South,P-STO-117,Office Supplies,Storage,Smead Hanging File Folders,386.82,1,0.0,44.68
31,CA-2016-000031,03/07/2016,09/07/2016,Standard Class,C-00472,Andy Reiter,Corporate,United States,New Orleans,Louisiana,67240,South,P-SUP-122,Office Supplies,Supplies,Dixon Ticonderoga Pencil Sharpener,303.4,2,0.0,-11.62
32,CA-2015-000032,21/12/2015,22/12/2015,First Class,C-00079,Barry Weirich,Consumer,United States,Rochester,New York,76840,East,P-FUR-024,Furniture,Furnishings,Belkin F8E206,100.18,2,0.2,-28.55
33,CA-2017-000033,15/10/2017,19/10/2017,Second Class,C-00779,Allen Armold,Consumer,United States,Dallas,Texas,92306,Central,P-COP-148,Technology,Copiers,Hewlett Packard LaserJet 3310,51545.65,13,0.0,15962.34
34,CA-2017-000034,12/09/2017,18/09/2017,Standard Class,C-00643,Alex Ruiz,Corporate,United States,Las Vegas,Nevada,71462,West,P-CHA-018,Furniture,Chairs,Safco Executive Chair,735.67,1,0.0,83.86
35,CA-2015-000035,26/09/2015,28/09/2015,Second Class,C-00294,Ann Chong,Consumer,United States,Phoenix,Arizona,90610,West,P-ART-060,Office Supplies,Art,Sanford Liquid Highlighter,279.72,6,0.0,46.77
36,CA-2017-000036,23/11/2017,28/11/2017,Standard Class,C-00330,Alyssa Tate,Home Office,United States,Charlotte,North Carolina,18109,East,P-PAP-108,Office Supplies,Paper,Xerox 1967,63.15,5,0.0,10.36
37,CA-2016-000037,20/06/2016,26/06/2016,Standard Class,C-00537,Brendan Dodson,Consumer,United States,Pittsburgh,Pennsylvania,58870,East,P-COP-145,Technology,Copiers,Hewlett Packard LaserJet 3310,675.7,1,0.0,221.96
38,CA-2014-000038,30/10/2014,06/11/2014,Standard Class,C-00291,Andrew Roberts,Consumer,United States,Scottsdale,Arizona,88997,West,P-STO-113,Office Supplies,Storage,Advantus Super Stacker Drawer,301.45,5,0.5,-248.1
39,CA-2016-000039,12/07/2016,18/07/2016,Standard Class,C-00386,Anna Gayman,Consumer,United States,Detroit,Michigan,97833,Central,P-SUP-129,Office Supplies,Supplies,Dixon Ticonderoga Pencil Sharpener,88.5,2,0.0,2.64
40,CA-2016-000040,24/08/2016,25/08/2016,First Class,C-00498,Adrian Barton,Consumer,United States,Seattle,Washington,20114,West,P-FAS-085,Office Supplies,Fasteners,OIC Binder Clips,267.44,8,0.0,41.06
41,CA-2016-000041,22/07/2016,25/07/2016,Second Class,C-00612,Anne Pryor,Consumer,United States,Philadelphia,Pennsylvania,91885,East,P-FAS-083,Office Supplies,Fasteners,Acme Staple Remover,185.52,6,0.0,23.01
42,CA-2016-000042,13/05/2016,20/05/2016,Standard Class,C-00240,Alyssa Tate,Corporate,United States,Cleveland,Ohio,35430,East,P-FUR-026,Furniture,Furnishings,Artistic Wire Pencil Cup,2707.88,7,0.0,264.2
43,CA-2017-000043,04/08/2017,09/08/2017,Standard Class,C-00142,Alan Hwang,Corporate,United States,Montgomery,Alabama,58655,South,P-BOO-009,Furniture,Bookcases,Sauder 5-Shelf Bookcase,3200.56,8,0.3,-2069.96
44,CA-2014-000044,08/08/2014,12/08/2014,Standard Class,C-00094,Aimee Bixby,Consumer,United States,Fayetteville,Arkansas,55820,South,P-FAS-081,Office Supplies,Fasteners,Acco Push Pins,19.37,1,0.0,3.52
45,CA-2017-000045,27/07/2017,03/08/2017,Standard Class,C-00732,Alex Grayson,Corporate,United States,Milwaukee,Wisconsin,28035,Central,P-MAC-151,Technology,Machines,Sharp MX-M264N,2298.15,1,0.2,-761.55
46,CA-2015-000046,14/01/2015,18/01/2015,Second Class,C-00221,Brenda Bowman,Home Office,United States,Tulsa,Oklahoma,24573,South,P-SUP-125,Office Supplies,Supplies,Dixon Ticonderoga Pencil Sharpener,96.85,1,0.0,-8.7
47,CA-2014-000047,19/06/2014,23/06/2014,Standard Class,C-00612,Anne Pryor,Consumer,United States,Atlanta,Georgia,28818,East,P-APP-045,Office Supplies,Appliances,Hoover Stove,656.78,2,0.0,86.38
48,CA-2014-000048,12/06/2014,16/06/2014,Standard Class,C-00558,Amy Zwaska,Home Office,United States,Greensboro,North Carolina,12665,East,P-TAB-037,Furniture,Tables,Chromcraft Rectangular Conference Table,842.77,1,0.7,-1160.56
49,CA-2016-000049,06/11/2016,08/11/2016,First Class,C-00644,Allen Armold,Consumer,United States,Colorado Springs,Colorado,27486,West,P-MAC-151,Technology,Machines,Sharp MX-M264N,14718.03,3,0.0,1031.11
50,CA-2014-000050,02/03/2014,08/03/2014,Standard Class,C-00139,Aimee Bixby,Corporate,United States,Tucson,Arizona,14847,West,P-COP-145,Technology,Copiers,Canon PC1060 Copier,42089.97,13,0.0,17523.21
51,CA-2017-000051,04/06/2017,06/06/2017,First Class,C-00260,Benjamin Farhat,Home Office,United States,Salt Lake City,Utah,47501,West,P-SUP-126,Office Supplies,Supplies,Dixon Ticonderoga Pencil Sharpener,1074.0,6,0.0,26.72
52,CA-2015-000052,14/02/2015,19/02/2015,Standard Class,C-00396,Beth Thompson,Consumer,United States,Pittsburgh,Pennsylvania,75211,East,P-COP-146,Technology,Copiers,Oki B840 Mono Printer,6818.4,2,0.0,2570.69
53,CA-2016-000053,30/10/2016,06/11/2016,Standard Class,C-00677,Adam Hart,Corporate,United States,Reno,Nevada,31842,West,P-ART-058,Office Supplies,Art,Dixon Ticonderoga Pencils,355.56,12,0.0,39.02
54,CA-2014-000054,26/09/2014,01/10/2014,Standard Class,C-00077,Ashley Common,Home Office,United States,Saint Paul,Minnesota,77251,Central,P-ENV-073,Office Supplies,Envelopes,Poly String-Tie Envelopes,68.34,6,0.0,9.25
55,CA-2015-000055,19/11/2015,25/11/2015,Standard Class,C-00393,Barbara Frey,Consumer,United States,Birmingham,Alabama,99006,South,P-ACC-138,Technology,Accessories,Kensington USB/PS2 Keyb,1025.2,5,0.0,75.65
56,CA-2014-000056,23/11/2014,29/11/2014,Standard Class,C-00117,Anne Pryor,Consumer,United States,Tacoma,Washington,77861,West,P-APP-047,Office Supplies,Appliances,Acco Heavy Duty Stapler,5957.98,14,0.0,916.46
57,CA-2016-000057,18/10/2016,24/10/2016,Standard Class,C-00139,Aimee Bixby,Corporate,United States,Jackson,Mississippi,68341,South,P-FUR-022,Furniture,Furnishings,Belkin F8E206,1710.15,5,0.0,202.0
58,CA-2015-000058,12/08/2015,18/08/2015,Standard Class,C-00654,Ann Chong,Consumer,United States,Portland,Oregon,25907,West,P-ART-054,Office Supplies,Art,Fiskars Scissors,628.42,13,0.1,-41.88
59,CA-2017-000059,11/02/2017,14/02/2017,Second Class,C-00068,Angel Whelply,Consumer,United States,Provo,Utah,78903,West,P-FAS-087,Office Supplies,Fasteners,Acco Push Pins,71.49,3,0.0,7.31
60,CA-2017-000060,10/08/2017,16/08/2017,Standard Class,C-00799,Barry Weirich,Consumer,United States,Charlotte,North Carolina,26912,East,P-PHO-167,Technology,Phones,Apple iPhone 6,3742.86,2,0.0,958.76
61,CA-2014-000061,18/05/2014,23/05/2014,Standard Class,C-00532,Bill Donatelli,Corporate,United States,Louisville,Kentucky,42847,South,P-PHO-164,Technology,Phones,Motorola Moto G,4783.44,4,0.0,953.14
62,CA-2014-000062,25/12/2014,30/12/2014,Standard Class,C-00640,Alejandro Grove,Consumer,United States,Saint Louis,Missouri,83874,Central,P-ART-051,Office Supplies,Art,Fiskars Scissors,232.2,3,0.0,12.32
63,CA-2015-000063,13/11/2015,17/11/2015,Standard Class,C-00510,Alyssa Tate,Consumer,United States,Tulsa,Oklahoma,94136,South,P-ART-055,Office Supplies,Art,Dixon Ticonderoga Pencils,69.8,1,0.0,8.66
64,CA-2017-000064,13/06/2017,19/06/2017,Standard Class,C-00476,Anna Gayman,Home Office,United States,Denver,Colorado,50970,West,P-FAS-086,Office Supplies,Fasteners,Acme Staple Remover,26.23,1,0.0,3.22
65,CA-2017-000065,14/11/2017,19/11/2017,Standard Class,C-00126,Beth Thompson,Consumer,United States,Seattle,Washington,22689,West,P-BOO-001,Furniture,Bookcases,Lorell Vertical 5-Shelf,8953.47,9,0.0,-276.57
66,CA-2014-000066,17/12/2014,22/12/2014,Standard Class,C-00195,Alyssa Tate,Consumer,United States,Saint Paul,Minnesota,75373,Central,P-APP-045,Office Supplies,Appliances,Hoover Stove,305.26,2,0.4,-180.21
67,CA-2017-000067,29/07/2017,04/08/2017,Standard Class,C-00612,Anne Pryor,Consumer,United States,Knoxville,Tennessee,71680,South,P-FUR-025,Furniture,Furnishings,Eldon Expressions Desk,615.8,2,0.0,69.95
68,CA-2016-000068,09/11/2016,10/11/2016,First Class,C-00584,Bruce Sherwood,Consumer,United States,Cincinnati,Ohio,47827,East,P-APP-042,Office Supplies,Appliances,Hoover Stove,103.34,1,0.0,14.44
69,CA-2016-000069,02/01/2016,08/01/2016,Standard Class,C-00348,Barbara Frey,Consumer,United States,Columbus,Ohio,36090,East,P-PAP-110,Office Supplies,Paper,Hammermill Premium Copy Paper,485.31,3,0.5,-354.77
70,CA-2017-000070,11/05/2017,18/05/2017,Standard Class,C-00144,Alejandro Ballard,Home Office,United States,Raleigh,North Carolina,31299,East,P-STO-117,Office Supplies,Storage,Smead Hanging File Folders,572.82,2,0.0,63.54
71,CA-2017-000071,20/09/2017,25/09/2017,Standard Class,C-00378,Amy Zwaska,Consumer,United States,Buffalo,New York,86507,East,P-BIN-065,Office Supplies,Binders,Cardinal Easy-Open Binder,866.8,4,0.7,-991.44
72,CA-2016-000072,07/10/2016,13/10/2016,Standard Class,C-00739,Andrew Allen,Consumer,United States,Madison,Wisconsin,29369,Central,P-FAS-084,Office Supplies,Fasteners,OIC Binder Clips,64.56,3,0.0,12.63
73,CA-2016-000073,16/12/2016,22/12/2016,Standard Class,C-00514,Andrew Allen,Consumer,United States,Minneapolis,Minnesota,28098,Central,P-CHA-019,Furniture,Chairs,Global Upholstery Side Chair,4315.47,3,0.0,216.91
74,CA-2017-000074,10/05/2017,16/05/2017,Standard Class,C-00560,Andrew Gjertsen,Consumer,United States,Tampa,Florida,89963,East,P-TAB-038,Furniture,Tables,Bevis Round Table,7940.55,5,0.0,-500.84
75,CA-2017-000075,12/06/2017,12/06/2017,Same Day,C-00501,Alan Haines,Corporate,United States,Eugene,Oregon,47721,West,P-BOO-002,Furniture,Bookcases,O`Sullivan 5-Shelf,839.0,2,0.0,15.32
76,CA-2017-000076,18/05/2017,20/05/2017,Second Class,C-00355,Brad Thomas,Home Office,United States,Memphis,Tennessee,72793,South,P-BOO-004,Furniture,Bookcases,Bush Somerset Bookcase,1320.9,6,0.1,-257.65
77,CA-2015-000077,22/07/2015,24/07/2015,Second Class,C-00686,Alex Avila,Consumer,United States,Little Rock,Arkansas,16880,South,P-FAS-082,Office Supplies,Fasteners,Acco Push Pins,579.12,12,0.0,96.11
78,CA-2015-000078,30/09/2015,04/10/2015,Second Class,C-00669,Bob Takahito,Corporate,United States,Gulfport,Mississippi,95267,South,P-TAB-034,Furniture,Tables,Chromcraft Rectangular Conference Table,4933.76,4,0.0,-734.71
79,CA-2017-000079,24/03/2017,24/03/2017,Same Day,C-00039,Bob Takahito,Home Office,United States,Fayetteville,Arkansas,33040,South,P-STO-111,Office Supplies,Storage,Advantus Super Stacker Drawer,351.93,1,0.0,36.89
80,CA-2017-000080,17/03/2017,22/03/2017,Standard Class,C-00110,Andrew Gjertsen,Home Office,United States,Baton Rouge,Louisiana,69552,South,P-FUR-029,Furniture,Furnishings,Artistic Wire Pencil Cup,650.88,2,0.0,60.9
81,CA-2017-000081,20/03/2017,22/03/2017,First Class,C-00664,Barry Weirich,Consumer,United States,Seattle,Washington,54185,West,P-ART-055,Office Supplies,Art,Sanford Liquid Highlighter,249.66,3,0.7,-288.17
82,CA-2015-000082,25/04/2015,01/05/2015,Standard Class,C-00098,Alan Schoenberger,Corporate,United States,Tacoma,Washington,52415,West,P-PAP-104,Office Supplies,Paper,Xerox 1967,319.4,5,0.7,-331.46
83,CA-2016-000083,29/08/2016,31/08/2016,First Class,C-00369,Alejandro Ballard,Consumer,United States,Houston,Texas,71000,Central,P-ACC-135,Technology,Accessories,Logitech Wireless Mouse,1741.2,5,0.0,408.41
84,CA-2017-000084,14/09/2017,17/09/2017,Second Class,C-00377,Amy Hunt,Corporate,United States,Chicago,Illinois,72676,Central,P-APP-043,Office Supplies,Appliances,Hoover Stove,2770.14,6,0.0,669.17
85,CA-2016-000085,30/06/2016,04/07/2016,Standard Class,C-00781,Amy Cox,Home Office,United States,Scottsdale,Arizona,20730,West,P-CHA-019,Furniture,Chairs,Bretford Rectangular Table,10054.88,8,0.5,-8924.73
86,CA-2015-000086,03/09/2015,05/09/2015,First Class,C-00154,Andrew Allen,Consumer,United States,Scottsdale,Arizona,67912,West,P-BIN-062,Office Supplies,Binders,Cardinal Easy-Open Binder,728.4,3,0.0,78.4
87,CA-2014-000087,01/04/2014,05/04/2014,Second Class,C-00468,Amy Zwaska,Corporate,United States,Raleigh,North Carolina,98181,East,P-STO-115,Office Supplies,Storage,Smead Hanging File Folders,115.44,3,0.0,12.09
88,CA-2014-000088,21/03/2014,21/03/2014,Same Day,C-00555,Alyssa Tate,Home Office,United States,Montgomery,Alabama,14159,South,P-CHA-015,Furniture,Chairs,Bretford Rectangular Table,4893.84,8,0.0,580.81
89,CA-2014-000089,17/08/2014,22/08/2014,Standard Class,C-00387,Anne Pryor,Consumer,United States,Atlanta,Georgia,95660,East,P-TAB-036,Furniture,Tables,Bevis Round Table,10216.08,6,0.0,-929.14
90,CA-2015-000090,09/06/2015,13/06/2015,Standard Class,C-00475,Anna Andreadi,Consumer,United States,Saint Louis,Missouri,79721,Central,P-BOO-007,Furniture,Bookcases,Bush Somerset Bookcase,677.2,5,0.0,-10.91
91,CA-2016-000091,02/10/2016,06/10/2016,Standard Class,C-00017,Amy Hunt,Consumer,United States,Los Angeles,California,87849,West,P-CHA-011,Furniture,Chairs,Bretford Rectangular Table,1302.44,2,0.1,-134.16
92,CA-2016-000092,11/10/2016,16/10/2016,Standard Class,C-00144,Alejandro Ballard,Home Office,United States,Columbus,Ohio,85511,East,P-STO-116,Office Supplies,Storage,Smead Hanging File Folders,1577.68,4,0.0,49.42
93,CA-2016-000093,31/12/2016,03/01/2017,Second Class,C-00282,Alex Grayson,Consumer,United States,Denver,Colorado,92050,West,P-PAP-107,Office Supplies,Paper,Hammermill Premium Copy Paper,316.46,2,0.0,72.59
94,CA-2015-000094,26/10/2015,30/10/2015,Standard Class,C-00153,Amy Zwaska,Consumer,United States,Spokane,Washington,72065,West,P-APP-044,Office Supplies,Appliances,Fellowes PB500 Binding Machine,3856.16,11,0.0,392.63
95,CA-2017-000095,24/02/2017,25/02/2017,First Class,C-00138,Adrian Barton,Corporate,United States,Columbus,Ohio,53288,East,P-ART-052,Office Supplies,Art,Dixon Ticonderoga Pencils,145.2,5,0.0,21.9
96,CA-2016-000096,11/11/2016,15/11/2016,Standard Class,C-00075,Arthur Prichep,Corporate,United States,Scottsdale,Arizona,98008,West,P-ACC-139,Technology,Accessories,Logitech Wireless Mouse,113.79,1,0.0,26.26
97,CA-2017-000097,25/08/2017,01/09/2017,Standard Class,C-00765,Aaron Bergman,Corporate,United States,Jackson,Mississippi,89220,South,P-PAP-104,Office Supplies,Paper,Avery Multipurpose Copy Paper,218.12,2,0.0,36.05
98,CA-2015-000098,19/07/2015,20/07/2015,First Class,C-00526,Arthur Wiediger,Corporate,United States,Jackson,Mississippi,71537,South,P-BIN-066,Office Supplies,Binders,GBC Binding Machine,23.4,4,0.0,1.54
99,CA-2016-000099,18/04/2016,22/04/2016,Second Class,C-00738,Amy Zwaska,Consumer,United States,Philadelphia,Pennsylvania,53236,East,P-APP-044,Office Supplies,Appliances,Hoover Stove,1334.46,6,0.0,233.73
100,CA-2014-000100,06/08/2014,07/08/2014,First Class,C-00741,Andrew Roberts,Corporate,United States,Saint Paul,Minnesota,32050,Central,P-PAP-106,Office Supplies,Paper,Xerox 1967,750.19,7,0.7,-802.39
101,CA-2017-000101,17/01/2017,21/01/2017,Standard Class,C-00050,Alan Barnes,Consumer,United States,Minneapolis,Minnesota,92667,Central,P-SUP-124,Office Supplies,Supplies,Dixon Ticonderoga Pencil Sharpener,636.95,5,0.0,50.56
102,CA-2014-000102,09/08/2014,15/08/2014,Standard Class,C-00495,Aaron Bergman,Consumer,United States,Houston,Texas,79758,Central,P-FAS-089,Office Supplies,Fasteners,Acco Push Pins,11.04,6,0.0,1.59
103,CA-2016-000103,09/11/2016,10/11/2016,First Class,C-00184,Aimee Bixby,Consumer,United States,San Francisco,California,41584,West,P-TAB-034,Furniture,Tables,Harbour Creations 66,2614.47,3,0.0,-362.16
104,CA-2016-000104,16/06/2016,20/06/2016,Standard Class,C-00714,Bob Takahito,Consumer,United States,Salt Lake City,Utah,95686,West,P-BOO-001,Furniture,Bookcases,Sauder 5-Shelf Bookcase,873.13,1,0.0,-9.53
105,CA-2015-000105,29/11/2015,05/12/2015,Standard Class,C-00661,Arthur Wiediger,Corporate,United States,Kansas City,Missouri,79226,Central,P-PAP-101,Office Supplies,Paper,Xerox 1967,14.08,1,0.0,2.75
106,CA-2016-000106,23/10/2016,24/10/2016,First Class,C-00557,Amy Hunt,Consumer,United States,New York City,New York,51220,East,P-PHO-161,Technology,Phones,Samsung Galaxy S6,2478.32,4,0.0,569.06
107,CA-2016-000107,02/12/2016,07/12/2016,Standard Class,C-00399,Bob Takahito,Corporate,United States,Saint Louis,Missouri,60311,Central,P-PHO-163,Technology,Phones,Apple iPhone 6,3364.38,2,0.0,611.99
108,CA-2016-000108,13/06/2016,20/06/2016,Standard Class,C-00610,Anna Andreadi,Consumer,United States,Tampa,Florida,13883,East,P-BIN-065,Office Supplies,Binders,Ibico Presentation Ring Binder,106.48,4,0.0,9.7
109,CA-2015-000109,03/06/2015,09/06/2015,Standard Class,C-00731,Alex Avila,Consumer,United States,Portland,Oregon,59807,West,P-ACC-133,Technology,Accessories,Plantronics Voyager,1367.52,6,0.1,-50.66
110,CA-2014-000110,03/06/2014,06/06/2014,Second Class,C-00192,Alex Grayson,Consumer,United States,Greensboro,North Carolina,77166,East,P-LAB-097,Office Supplies,Labels,Avery Address Labels,69.37,1,0.0,11.06
111,CA-2017-000111,09/03/2017,16/03/2017,Standard Class,C-00798,Barbara Frey,Home Office,United States,Denver,Colorado,84967,West,P-MAC-159,Technology,Machines,Canon imageCLASS,815.08,1,0.0,61.3
112,CA-2016-000112,04/03/2016,08/03/2016,Standard Class,C-00307,Bill Donatelli,Consumer,United States,Buffalo,New York,42990,East,P-CHA-014,Furniture,Chairs,Bretford Rectangular Table,2854.66,2,0.0,401.13
113,CA-2017-000113,11/04/2017,18/04/2017,Standard Class,C-00338,Angel Whelply,Corporate,United States,Virginia Beach,Virginia,49378,East,P-PAP-106,Office Supplies,Paper,Hammermill Premium Copy Paper,387.8,2,0.0,93.96
114,CA-2017-000114,04/06/2017,04/06/2017,Same Day,C-00503,Alan Schoenberger,Consumer,United States,Louisville,Kentucky,52714,South,P-STO-117,Office Supplies,Storage,Advantus Super Stacker Drawer,963.88,4,0.0,79.09
115,CA-2017-000115,28/02/2017,02/03/2017,First Class,C-00564,Ann Chong,Consumer,United States,Provo,Utah,37479,West,P-STO-118,Office Supplies,Storage,Advantus Super Stacker Drawer,272.46,1,0.0,11.35
116,CA-2017-000116,13/07/2017,20/07/2017,Standard Class,C-00259,Barry Weirich,Consumer,United States,Overland Park,Kansas,59412,Central,P-ART-052,Office Supplies,Art,Dixon Ticonderoga Pencils,334.38,6,0.0,58.61
117,CA-2016-000117,21/01/2016,24/01/2016,Second Class,C-00550,Alejandro Grove,Consumer,United States,New York City,New York,42536,East,P-SUP-126,Office Supplies,Supplies,Dixon Ticonderoga Pencil Sharpener,387.38,2,0.0,-6.9
118,CA-2016-000118,15/09/2016,22/09/2016,Standard Class,C-00109,Andrew Allen,Consumer,United States,Portland,Oregon,76935,West,P-MAC-159,Technology,Machines,Lexmark MX611dhe,15537.92,4,0.0,936.75
119,CA-2014-000119,05/12/2014,11/12/2014,Standard Class,C-00354,Bob Takahito,Consumer,United States,Jackson,Mississippi,48722,South,P-FAS-087,Office Supplies,Fasteners,OIC Binder Clips,46.62,2,0.0,9.21
120,CA-2014-000120,01/10/2014,02/10/2014,First Class,C-00488,Bill Eplett,Corporate,United States,Provo,Utah,51800,West,P-PAP-102,Office Supplies,Paper,Avery Multipurpose Copy Paper,137.04,1,0.0,27.45
121,CA-2017-000121,13/04/2017,15/04/2017,Second Class,C-00250,Anna Andreadi,Consumer,United States,Charlotte,North Carolina,53383,East,P-STO-119,Office Supplies,Storage,Advantus Super Stacker Drawer,779.37,3,0.6,-772.13
